project,state,web_links
permissions/ebr-dev,ACTIVE,plugins/gitiles/permissions/ebr-dev
www.eclipse.org/rt,ACTIVE,plugins/gitiles/www.eclipse.org/rt
www.eclipse.org/images,ACTIVE,plugins/gitiles/www.eclipse.org/images
papyrus/org.eclipse.papyrus-bpmn,ACTIVE,plugins/gitiles/papyrus/org.eclipse.papyrus-bpmn
permissions/jaxb-dev,ACTIVE,plugins/gitiles/permissions/jaxb-dev
m2e/org.eclipse.m2e.workspace,ACTIVE,plugins/gitiles/m2e/org.eclipse.m2e.workspace
jsdt/webtools.jsdt.core,ACTIVE,plugins/gitiles/jsdt/webtools.jsdt.core
www.eclipse.org/gemini/blueprint,ACTIVE,plugins/gitiles/www.eclipse.org/gemini/blueprint
xpect/xpect,ACTIVE,plugins/gitiles/xpect/xpect
www.eclipse.org/mars,ACTIVE,plugins/gitiles/www.eclipse.org/mars
chemclipse/org.eclipse.chemclipse.chemclipsecore,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.chemclipsecore
platform/eclipse.platform.resources,ACTIVE,plugins/gitiles/platform/eclipse.platform.resources
kuksa/kuksa,ACTIVE,plugins/gitiles/kuksa/kuksa
www.eclipse.org/photon,ACTIVE,plugins/gitiles/www.eclipse.org/photon
ptp/org.eclipse.ptp.master,ACTIVE,plugins/gitiles/ptp/org.eclipse.ptp.master
titan/titan.ProtocolModules.GTPv2_v15.2.0,ACTIVE,plugins/gitiles/titan/titan.ProtocolModules.GTPv2_v15.2.0
webtools/webtools.releng.patch.aggregator,ACTIVE,plugins/gitiles/webtools/webtools.releng.patch.aggregator
om2m/org.eclipse.om2m,ACTIVE,plugins/gitiles/om2m/org.eclipse.om2m
jdt/eclipse.jdt.core,ACTIVE,plugins/gitiles/jdt/eclipse.jdt.core
www.eclipse.org/golo,ACTIVE,plugins/gitiles/www.eclipse.org/golo
platform/eclipse.platform.runtime,ACTIVE,plugins/gitiles/platform/eclipse.platform.runtime
permissions/aspectj-dev,ACTIVE,plugins/gitiles/permissions/aspectj-dev
osbp/org.eclipse.osbp.xtext.dialog,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.xtext.dialog
jetty/org.eclipse.jetty.wtp,ACTIVE,plugins/gitiles/jetty/org.eclipse.jetty.wtp
www.eclipse.org/tm,ACTIVE,plugins/gitiles/www.eclipse.org/tm
ee4j/el,ACTIVE,plugins/gitiles/ee4j/el
permissions/tigerstripe-dev,ACTIVE,plugins/gitiles/permissions/tigerstripe-dev
www.eclipse.org/ee4j/jakartaee-stable,ACTIVE,plugins/gitiles/www.eclipse.org/ee4j/jakartaee-stable
All-Projects,ACTIVE,plugins/gitiles/All-Projects
www.eclipse.org/om2m,ACTIVE,plugins/gitiles/www.eclipse.org/om2m
osee/org.eclipse.osee,ACTIVE,plugins/gitiles/osee/org.eclipse.osee
sumo/sumo,ACTIVE,plugins/gitiles/sumo/sumo
ldt/org.eclipse.metalua,ACTIVE,plugins/gitiles/ldt/org.eclipse.metalua
www.eclipse.org/MoDisco,ACTIVE,plugins/gitiles/www.eclipse.org/MoDisco
www.eclipse.org/osee,ACTIVE,plugins/gitiles/www.eclipse.org/osee
cdt/org.eclipse.tools.templates,ACTIVE,plugins/gitiles/cdt/org.eclipse.tools.templates
permissions/webtools.releng-dev,ACTIVE,plugins/gitiles/permissions/webtools.releng-dev
www.eclipse.org/acute,ACTIVE,plugins/gitiles/www.eclipse.org/acute
e4/org.eclipse.migration,ACTIVE,plugins/gitiles/e4/org.eclipse.migration
permissions/kuksa-dev,ACTIVE,plugins/gitiles/permissions/kuksa-dev
www.eclipse.org/ponte,ACTIVE,plugins/gitiles/www.eclipse.org/ponte
titan/titan.ProtocolModules.SUA,ACTIVE,plugins/gitiles/titan/titan.ProtocolModules.SUA
sensinact/org.eclipse.sensinact.gateway,ACTIVE,plugins/gitiles/sensinact/org.eclipse.sensinact.gateway
www.eclipse.org/tools,ACTIVE,plugins/gitiles/www.eclipse.org/tools
papyrus/org.eclipse.papyrus-schedule,ACTIVE,plugins/gitiles/papyrus/org.eclipse.papyrus-schedule
permissions/eclipselink-dev,ACTIVE,plugins/gitiles/permissions/eclipselink-dev
es/es,ACTIVE,plugins/gitiles/es/es
www.eclipse.org/mmt/qvto,ACTIVE,plugins/gitiles/www.eclipse.org/mmt/qvto
titan/titan.Applications.IoT_Functiontest_Framework,ACTIVE,plugins/gitiles/titan/titan.Applications.IoT_Functiontest_Framework
rtsc/org.eclipse.rtsc.contrib,ACTIVE,plugins/gitiles/rtsc/org.eclipse.rtsc.contrib
www.eclipse.org/subversive,ACTIVE,plugins/gitiles/www.eclipse.org/subversive
jwt/org.eclipse.soa.jwt,ACTIVE,plugins/gitiles/jwt/org.eclipse.soa.jwt
permissions/atf-dev,ACTIVE,plugins/gitiles/permissions/atf-dev
jaxb/jaxb,ACTIVE,plugins/gitiles/jaxb/jaxb
permissions/theia-dev,ACTIVE,plugins/gitiles/permissions/theia-dev
mylyn/org.eclipse.mylyn.docs,ACTIVE,plugins/gitiles/mylyn/org.eclipse.mylyn.docs
permissions/gef-dev,ACTIVE,plugins/gitiles/permissions/gef-dev
papyrus-rt/org.eclipse.papyrus-rt,ACTIVE,plugins/gitiles/papyrus-rt/org.eclipse.papyrus-rt
permissions/mosquitto-dev,ACTIVE,plugins/gitiles/permissions/mosquitto-dev
epf/org.eclipse.epf.docs,ACTIVE,plugins/gitiles/epf/org.eclipse.epf.docs
osbp/org.eclipse.osbp.xtext.table.common,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.xtext.table.common
recommenders/org.eclipse.recommenders.benchmarks,ACTIVE,plugins/gitiles/recommenders/org.eclipse.recommenders.benchmarks
osbp/org.eclipse.osbp.vaaclipse.common.ecview,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.vaaclipse.common.ecview
jsf/webtools.jsf.docs,ACTIVE,plugins/gitiles/jsf/webtools.jsf.docs
ee4j/ee4j,ACTIVE,plugins/gitiles/ee4j/ee4j
permissions/vex-dev,ACTIVE,plugins/gitiles/permissions/vex-dev
titan/titan.ProtocolModules.JSON_Generic,ACTIVE,plugins/gitiles/titan/titan.ProtocolModules.JSON_Generic
www.eclipse.org/duttile,ACTIVE,plugins/gitiles/www.eclipse.org/duttile
www.eclipse.org/tracecompass.incubator,ACTIVE,plugins/gitiles/www.eclipse.org/tracecompass.incubator
chemclipse/org.eclipse.chemclipse.compmsdistance,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.compmsdistance
permissions/keyple-dev,ACTIVE,plugins/gitiles/permissions/keyple-dev
permissions/openk-usermodules-dev,ACTIVE,plugins/gitiles/permissions/openk-usermodules-dev
titan/titan.TestPorts.Serial,ACTIVE,plugins/gitiles/titan/titan.TestPorts.Serial
camf/org.eclipse.camf,ACTIVE,plugins/gitiles/camf/org.eclipse.camf
chemclipse/org.eclipse.chemclipse.filterdenoising,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.filterdenoising
mdmbl/org.eclipse.mdm.api.base,ACTIVE,plugins/gitiles/mdmbl/org.eclipse.mdm.api.base
chemclipse/org.eclipse.chemclipse.zipconverter,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.zipconverter
www.eclipse.org/dirigible,ACTIVE,plugins/gitiles/www.eclipse.org/dirigible
titan/titan.Applications.RIoT,ACTIVE,plugins/gitiles/titan/titan.Applications.RIoT
permissions/jeetools,ACTIVE,plugins/gitiles/permissions/jeetools
virgo/org.eclipse.virgo.test,ACTIVE,plugins/gitiles/virgo/org.eclipse.virgo.test
permissions/dbaccess-dev,ACTIVE,plugins/gitiles/permissions/dbaccess-dev
mdht/org.eclipse.mdht,ACTIVE,plugins/gitiles/mdht/org.eclipse.mdht
rasterframes/rasterframes,ACTIVE,plugins/gitiles/rasterframes/rasterframes
emf-store/org.eclipse.emf.emfstore.releng,ACTIVE,plugins/gitiles/emf-store/org.eclipse.emf.emfstore.releng
recommenders.incubator/org.eclipse.recommenders.logging,ACTIVE,plugins/gitiles/recommenders.incubator/org.eclipse.recommenders.logging
www.eclipse.org/jetty,ACTIVE,plugins/gitiles/www.eclipse.org/jetty
chemclipse/org.eclipse.chemclipse.chemclipsequant,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.chemclipsequant
permissions/soteria-dev,ACTIVE,plugins/gitiles/permissions/soteria-dev
chemclipse/org.eclipse.chemclipse.baselinesnip,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.baselinesnip
diffmerge/org.eclipse.emf.diffmerge.patch,ACTIVE,plugins/gitiles/diffmerge/org.eclipse.emf.diffmerge.patch
ee4j/ejb,ACTIVE,plugins/gitiles/ee4j/ejb
viatra/org.eclipse.viatra.modelobfuscator,ACTIVE,plugins/gitiles/viatra/org.eclipse.viatra.modelobfuscator
permissions/servlet-dev,ACTIVE,plugins/gitiles/permissions/servlet-dev
vorto/org.eclipse.vorto,ACTIVE,plugins/gitiles/vorto/org.eclipse.vorto
