name,color,url
1.0.x,blue,https://ci.eclipse.org/californium/job/1.0.x/
1.0.x-nightly,blue,https://ci.eclipse.org/californium/job/1.0.x-nightly/
1.1.x-nightly,blue,https://ci.eclipse.org/californium/job/1.1.x-nightly/
2.0.x,blue,https://ci.eclipse.org/californium/job/2.0.x/
2.0.x-nightly,red,https://ci.eclipse.org/californium/job/2.0.x-nightly/
actinium,aborted,https://ci.eclipse.org/californium/job/actinium/
californium.core,disabled,https://ci.eclipse.org/californium/job/californium.core/
"californium.core java8",disabled,https://ci.eclipse.org/californium/job/californium.core%20java8/
californium.core-release,disabled,https://ci.eclipse.org/californium/job/californium.core-release/
californium.core-release-tagged,disabled,https://ci.eclipse.org/californium/job/californium.core-release-tagged/
debug_branch,disabled,https://ci.eclipse.org/californium/job/debug_branch/
element-connector,disabled,https://ci.eclipse.org/californium/job/element-connector/
element-connector-release,disabled,https://ci.eclipse.org/californium/job/element-connector-release/
element-connector-release-old,disabled,https://ci.eclipse.org/californium/job/element-connector-release-old/
element-connector-release-tagged,disabled,https://ci.eclipse.org/californium/job/element-connector-release-tagged/
hudson-debug,disabled,https://ci.eclipse.org/californium/job/hudson-debug/
hudson-explore,disabled,https://ci.eclipse.org/californium/job/hudson-explore/
master,blue,https://ci.eclipse.org/californium/job/master/
master-nightly-sandbox,disabled,https://ci.eclipse.org/californium/job/master-nightly-sandbox/
parent-release,blue,https://ci.eclipse.org/californium/job/parent-release/
parent-release-tagged,disabled,https://ci.eclipse.org/californium/job/parent-release-tagged/
parent-release-test,disabled,https://ci.eclipse.org/californium/job/parent-release-test/
scandium,disabled,https://ci.eclipse.org/californium/job/scandium/
scandium-release,disabled,https://ci.eclipse.org/californium/job/scandium-release/
scandium-release-tagged,disabled,https://ci.eclipse.org/californium/job/scandium-release-tagged/
scandium-sonar,disabled,https://ci.eclipse.org/californium/job/scandium-sonar/
tools,blue,https://ci.eclipse.org/californium/job/tools/
tools-release,blue,https://ci.eclipse.org/californium/job/tools-release/
tools-release-tagged,blue,https://ci.eclipse.org/californium/job/tools-release-tagged/
